timestamp_ms,temp,hum,ldr
20000,24.80,60.00,1357
25000,24.80,60.00,1349
30000,24.80,60.00,1341
35000,24.80,60.00,1310
40000,24.80,60.00,1296
45000,24.80,61.00,1312
50000,24.80,61.00,1312
55000,24.80,61.00,1417
5026,24.80,61.00,1401
10025,24.80,62.00,1399
15025,24.80,62.00,1446
20025,24.80,62.00,1437
25025,24.80,62.00,1427
30025,24.80,62.00,1424
35025,24.80,62.00,1407
40025,24.80,62.00,1421
45026,24.90,62.00,1430
50025,25.00,62.00,1454
55025,25.30,62.00,1462
60025,25.30,62.00,1449
65025,25.30,62.00,1446
70025,25.30,62.00,1440
75025,25.30,62.00,1456
80025,25.30,62.00,1443
85025,25.30,62.00,1424
90025,25.30,62.00,1430
95025,25.30,62.00,1443
100025,25.30,62.00,1470
105025,25.30,62.00,1475
110025,25.30,62.00,1472
115025,25.30,62.00,1466
120025,25.30,62.00,1456
125025,25.30,62.00,1453
130025,25.30,62.00,1435
135026,25.30,62.00,1427
140025,25.30,62.00,1437
145025,25.30,62.00,1454
150025,25.30,62.00,1470
155026,25.30,63.00,1477
160026,25.30,63.00,1478
165026,25.30,63.00,1472
170026,25.30,63.00,1463
175026,25.30,63.00,1456
180026,25.30,63.00,1443
185025,25.30,62.00,1435
190026,25.30,63.00,1428
195026,25.30,63.00,1444
200026,25.30,63.00,1470
205026,25.30,63.00,1479
210026,25.30,63.00,1483
215026,25.30,63.00,1472
220026,25.30,63.00,1465
225026,25.30,63.00,1456
230026,25.30,63.00,1442
235026,25.30,63.00,1431
240026,25.30,63.00,1439
245026,25.30,63.00,1500
250026,25.30,63.00,1472
255026,25.30,63.00,1488
260026,25.30,63.00,1477
265026,25.30,63.00,1474
270026,25.30,63.00,1467
275026,25.30,63.00,1457
280026,25.30,63.00,1424
285026,25.30,63.00,1426
290026,25.30,63.00,1439
295026,25.30,63.00,1454
300026,25.30,63.00,1477
305026,25.30,63.00,1485
310025,25.30,64.00,1478
315025,25.30,64.00,1472
320025,25.30,64.00,1472
325025,25.30,64.00,1456
330025,25.30,64.00,1447
335025,25.30,64.00,1427
340025,25.30,64.00,1429
345025,25.30,64.00,1515
350025,25.30,64.00,1531
355025,25.30,64.00,1535
360025,25.30,64.00,1535
365025,25.30,64.00,1527
370025,25.30,64.00,1520
375025,25.30,64.00,1520
380001,25.30,64.00,1456
385025,25.30,64.00,1427
390025,25.30,64.00,1430
395025,25.50,64.00,1455
400025,25.70,64.00,1472
405025,25.80,64.00,1482
410025,25.80,64.00,1481
415025,25.80,64.00,1472
420025,25.80,64.00,1464
425025,25.80,64.00,1454
430025,25.80,64.00,1433
435025,25.80,64.00,1426
440025,25.80,64.00,1435
445025,25.80,64.00,1456
450025,25.80,64.00,1475
455025,25.80,64.00,1477
460025,25.80,64.00,1474
465025,25.80,64.00,1475
470025,25.80,64.00,1461
475025,25.80,64.00,1456
480025,25.80,64.00,1434
485025,25.80,64.00,1423
490025,25.80,64.00,1520
495025,25.80,64.00,1533
500025,25.80,64.00,1535
505025,25.80,64.00,1553
510025,25.80,64.00,1563
515025,25.80,64.00,1535
520025,25.80,64.00,1535
525025,25.80,64.00,1532
530025,25.80,64.00,1522
535025,25.80,64.00,1518
540025,25.80,64.00,1520
545025,25.80,65.00,1533
550025,25.80,65.00,1471
555025,25.80,65.00,1520
560025,25.80,65.00,1519
565025,25.80,65.00,1519
570025,25.80,65.00,1508
575025,25.80,65.00,1518
580025,25.80,65.00,1531
585025,25.80,65.00,1605
590025,25.80,65.00,1535
595025,25.80,65.00,1606
600025,25.80,65.00,1835
605025,25.80,65.00,3057
610025,25.80,65.00,2752
615025,25.80,66.00,2301
620025,25.80,66.00,2490
625025,25.80,66.00,2307
630025,25.80,66.00,3137
635025,25.80,66.00,3150
640025,25.80,66.00,3143
645025,26.00,66.00,2913
650025,26.20,66.00,3026
655025,26.20,65.00,3022
660025,26.20,65.00,3015
665025,26.20,65.00,3008
670025,26.20,65.00,3050
675025,26.20,65.00,3082
680025,26.20,64.00,3088
685025,26.20,64.00,3058
690026,26.20,63.00,3046
695026,26.20,63.00,3056
700026,26.20,63.00,3024
705025,26.00,63.00,3044
710026,25.80,62.00,3021
715026,25.80,62.00,3024
720026,25.80,62.00,3021
725026,25.80,62.00,3021
730026,25.80,62.00,3021
735026,25.80,62.00,3025
740025,25.80,61.00,3026
745025,25.80,61.00,3027
750025,25.80,61.00,3023
755001,25.80,61.00,3025
760026,25.80,62.00,3003
765026,25.80,62.00,2983
770026,25.80,62.00,2976
775026,25.80,62.00,3005
